Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),AQI_PM2.5,AQI_PM10
1/1/2017,213.192,343.3625,92.78,47.63454545,136.976,77.85333333,19.922,2.507142857,32.77142857,8.228,20.456,1.39,3.054,5.166,14.47,76.75285714,0.69,138.8171429,0,0,82.84428571,791.374,0.0675,271.9692923,343.928875
1/2/2017,191.19875,382.616,114.081,60.721,195.6825,78.35833333,17.47571429,3.108,26.38666667,10.29166667,30.32333333,0.804,4.44,11.28,15.704,71.87375,0.54625,154.9025,0,0,95.58,827.91,0.138,255.2205865,382.78984
1/3/2017,187.0488889,365.222,112.856,65.457,149.9157143,76.97666667,17.35142857,3.508,23.075,14.34833333,37.045,0.804,10.29,20.96,14.96,76.0075,0.545,215.18,0,0,83.86125,827.955,0.114,252.0603077,365.56978
1/4/2017,194.6388889,346.418,178.086,64.803,213.4085714,93.38833333,17.72428571,3.29,28.25333333,13.965,42.95,0.804,14.62,27.6,15.76,69.61,0.6875,160.49625,0,0,93.80625,827.9733333,0.122,257.8403846,346.95382
1/5/2017,192.9433333,331.446,104.432,64.365,190.64625,87.07166667,18.90285714,3.186,32.675,9.888333333,29.32333333,0.804,7.01,15.72,16.376,71.3275,0.5175,177.41875,0,0,89.06125,826.4783333,0.046,256.5491538,332.13154
1/6/2017,164.98,259.134,48.999,57.258,99.4125,73.25333333,13.75714286,1.85,24.88333333,6.56,20.80833333,0.804,2.38,6.16,16.414,74.09625,1.175,124.1475,0,0,90.7225,825.65,0.15,235.254,259.54266
1/7/2017,123.3455556,178.928,28.752,43.653,65.35875,54.18,11.67857143,1.554,13.15166667,5.061666667,13.36166667,0.804,1.58,2.71,12.788,88.19,1.28875,116.15875,0,0,40.4025,825.8283333,0.192,203.5477692,179.34944
1/8/2017,128.0555556,220.284,36.609,52.14,84.915,48.44666667,20.56714286,1.552,23.92666667,5.016666667,18.26833333,0.804,2.17,4.03,13.204,78.59375,0.64125,141.845,0,0,105.06875,826.7333333,0.186,207.1346154,221.08116
1/9/2017,124.497,248.308,50.57,56.15818182,103.3555556,45.56166667,16.85125,1.574,22.14,6.152857143,19.85285714,0.804,2.45,4.945,12.588,72.74666667,0.715555556,205.7333333,0,0,124.3877778,852.3557143,0.191666667,204.4246385,248.82492
1/10/2017,98.534,222.16,36.63818182,54.71090909,86.65555556,40.425,13.435,1.358,27.84571429,4.88,15.51857143,0.804,1.465,3.115,10.302,54.66888889,0.832222222,234.0322222,0,0,133.9633333,852.5814286,0.193333333,164.9388667,222.9384
1/11/2017,137.631,281.774,49.05,60.813,106.87125,46.162,18.28625,1.841666667,25.78285714,6.117142857,18.80857143,0.804,1.9,4.555,9.402,53.26333333,0.847777778,227.18,0,0,127.6511111,852.6957143,0.166666667,214.4266846,281.95626
1/12/2017,193.165,400.5,68.29090909,65.46181818,133.7477778,56.68333333,25.61125,2.118333333,32.23285714,8.261428571,25.94428571,0.804,3.04,9.235,9.684,61.70666667,0.712222222,218.5044444,0,0,127.6188889,852.6142857,0.17,256.7179615,401.495
1/13/2017,204.787,396.58,82.34454545,69.84272727,155.6,65.36166667,22.54375,2.752,33.81571429,8.2,30.26,0.804,2.905,7.91,10.488,59.38555556,0.671111111,223.71,0,0,130.0966667,852.9128571,0.168333333,265.5685615,396.6142
1/14/2017,273.8,502.225,107.441,69.059,184.095,71.408,17.27,4.1225,18.845,10.07666667,35.20833333,0.804,2.95,6.635,6.0725,67.0725,0.4675,213.73125,0,0,79.0375,872.62,0.234,324.562,502.20275
1/15/2017,188.48,359.4,69.437,69.863,119.7414286,67.642,23.34125,2.52,46.76571429,7.6,23.23714286,0.804,2.965,6.843333333,16.19,50.60666667,0.637777778,163.7266667,0,0,132.2988889,853.1428571,0.195,253.1501538,359.806
1/16/2017,149.826,260.07,38.41727273,48.86545455,76.29333333,58.31666667,15.01125,1.708,18.75857143,5.077142857,15.34714286,0.804,4.66,4.003333333,12.03,66.99777778,1.026666667,197.7333333,0,0,108.9188889,852.7857143,0.196666667,223.7136462,260.4693
1/17/2017,127.839,199.342,37.93727273,42.56090909,73.26444444,45.82333333,13.80625,1.404,20.66714286,5.144285714,13.90285714,0.804,5.855,10.135,9.146,77.24666667,0.906666667,227.8322222,0,0,113.3144444,853.6271429,0.165,206.9697,199.35516
1/18/2017,155.713,253.88,46.476,59.469,88.6175,51.012,18.4025,1.598,19.63428571,7.852857143,23.51857143,0.804,6,5.28,10.678,71.80111111,0.722222222,209.4866667,0,0,127.9233333,854.8585714,0.16,228.1968231,254.3412
1/19/2017,146.927,211.84,30.68,44.83,62.125,37.764,14.46,1.494,22.58571429,6.881428571,19.41,0.804,1.25,2.12,12.092,67.19111111,1.023333333,236.9422222,0,0,136.5977778,855.33,0.166666667,221.5059462,212.7216
1/20/2017,138.639,199.008,35.99545455,52.91545455,83.07444444,39.98833333,13.9,1.394,26.31428571,8.85,17.60142857,0.804,1.52,3.755,12.162,63.84111111,0.933333333,244.8544444,0,0,133.3055556,854.7957143,0.096666667,215.1943154,199.02784
